PurchaseOrderID OrderDate               TotalDue              VendorName                                         vendorID    employeeID  NextOrderfromEmployeeVendor                        Next2OrderfromEmployeeVendor
789             2013-09-03 00:00:00.000 53073.8959            Electronic Bike Repair & Supplies                  1646        250         Carlson Specialties                                Cruger Bike Company
858             2013-09-09 00:00:00.000 18114.5192            Carlson Specialties                                1692        250         Cruger Bike Company                                Circuit Cycles
869             2013-09-09 00:00:00.000 703.4248              Cruger Bike Company                                1536        250         Circuit Cycles                                     Hill Bicycle Center
944             2013-09-18 00:00:00.000 4211.7075             Circuit Cycles                                     1544        250         Hill Bicycle Center                                Victory Bikes
962             2013-09-22 00:00:00.000 7880.9981             Hill Bicycle Center                                1626        250         Victory Bikes                                      Inline Accessories
1005            2013-10-06 00:00:00.000 57004.8229            Victory Bikes                                      1652        250         Inline Accessories                                 Carlson Specialties
1072            2013-10-20 00:00:00.000 38281.8686            Inline Accessories                                 1638        250         Carlson Specialties                                First Rate Bicycles
1104            2013-11-07 00:00:00.000 7121.6145             Carlson Specialties                                1692        250         First Rate Bicycles                                Jackson Authority
1122            2013-11-08 00:00:00.000 31319.7885            First Rate Bicycles                                1570        250         Jackson Authority                                  Training Systems
1133            2013-11-11 00:00:00.000 70533.3379            Jackson Authority                                  1680        250         Training Systems                                   Hill Bicycle Center
1157            2013-11-12 00:00:00.000 2214.0703             Training Systems                                   1514        250         Hill Bicycle Center                                National Bike Association
1204            2013-11-19 00:00:00.000 7880.9981             Hill Bicycle Center                                1626        250         National Bike Association                          Sport Playground
1222            2013-11-21 00:00:00.000 510.278               National Bike Association                          1572        250         Sport Playground                                   Bike Satellite Inc.
1233            2013-11-22 00:00:00.000 6572.8163             Sport Playground                                   1608        250         Bike Satellite Inc.                                Premier Sport, Inc.
1257            2013-11-26 00:00:00.000 2032.6535             Bike Satellite Inc.                                1604        250         Premier Sport, Inc.                                Beaumont Bikes
1304            2013-11-29 00:00:00.000 23821.6729            Premier Sport, Inc.                                1682        250         Beaumont Bikes                                     Federal Sport
1333            2013-12-04 00:00:00.000 1685.3792             Beaumont Bikes                                     1602        250         Federal Sport                                      Chicago Rent-All
1357            2013-12-06 00:00:00.000 1410.2839             Federal Sport                                      1600        250         Chicago Rent-All                                   Compete Enterprises, Inc
1422            2013-12-13 00:00:00.000 609.8274              Chicago Rent-All                                   1504        250         Compete Enterprises, Inc                           Hybrid Bicycle Center
1504            2013-12-23 00:00:00.000 39111.4474            Compete Enterprises, Inc                           1508        250         Hybrid Bicycle Center                              Vista Road Bikes
1522            2013-12-24 00:00:00.000 24880.9811            Hybrid Bicycle Center                              1610        250         Vista Road Bikes                                   Professional Athletic Consultants
1557            2013-12-30 00:00:00.000 41817.1504            Vista Road Bikes                                   1538        250         Professional Athletic Consultants                  Varsity Sport Co.
1622            2014-01-03 00:00:00.000 45358.8135            Professional Athletic Consultants                  1684        250         Varsity Sport Co.                                  Carlson Specialties
1633            2014-01-06 00:00:00.000 1043.5289             Varsity Sport Co.                                  1674        250         Carlson Specialties                                Signature Cycles
1657            2014-01-08 00:00:00.000 18114.5192            Carlson Specialties                                1692        250         Signature Cycles                                   Hill Bicycle Center
1704            2014-01-15 00:00:00.000 44720.676             Signature Cycles                                   1588        250         Hill Bicycle Center                                Proseware, Inc.
1757            2014-01-20 00:00:00.000 7880.9981             Hill Bicycle Center                                1626        250         Proseware, Inc.                                    Competition Bike Training Systems
1804            2014-01-23 00:00:00.000 36852.4406            Proseware, Inc.                                    1678        250         Competition Bike Training Systems                  First Rate Bicycles
1822            2014-01-27 00:00:00.000 31268.7375            Competition Bike Training Systems                  1624        250         First Rate Bicycles                                Premier Sport, Inc.
1833            2014-01-28 00:00:00.000 24880.9811            First Rate Bicycles                                1570        250         Premier Sport, Inc.                                Crowley Sport
1857            2014-01-31 00:00:00.000 23821.6729            Premier Sport, Inc.                                1682        250         Crowley Sport                                      International Sport Assoc.
1904            2014-02-06 00:00:00.000 48485.6873            Crowley Sport                                      1658        250         International Sport Assoc.                         National Bike Association
1922            2014-02-07 00:00:00.000 4103.2241             International Sport Assoc.                         1644        250         National Bike Association                          Advanced Bicycles
1933            2014-02-10 00:00:00.000 510.278               National Bike Association                          1572        250         Advanced Bicycles                                  Lakewood Bicycle
1957            2014-02-11 00:00:00.000 858.353               Advanced Bicycles                                  1496        250         Lakewood Bicycle                                   Sport Fan Co.
2004            2014-02-14 00:00:00.000 6311.1799             Lakewood Bicycle                                   1620        250         Sport Fan Co.                                      Compete Enterprises, Inc
2022            2014-02-17 00:00:00.000 42455.2879            Sport Fan Co.                                      1632        250         Compete Enterprises, Inc                           SUPERSALES INC.
2057            2014-02-21 00:00:00.000 41230.0639            Compete Enterprises, Inc                           1508        250         SUPERSALES INC.                                    Chicago Rent-All
2104            2014-02-25 00:00:00.000 580.125               SUPERSALES INC.                                    1590        250         Chicago Rent-All                                   Bicycle Specialists
2133            2014-02-27 00:00:00.000 609.8274              Chicago Rent-All                                   1504        250         Bicycle Specialists                                Custom Frames, Inc.
2204            2014-03-05 00:00:00.000 38281.8686            Bicycle Specialists                                1628        250         Custom Frames, Inc.                                Hybrid Bicycle Center
2222            2014-03-06 00:00:00.000 12060.7988            Custom Frames, Inc.                                1568        250         Hybrid Bicycle Center                              Signature Cycles
2233            2014-03-07 00:00:00.000 24880.9811            Hybrid Bicycle Center                              1610        250         Signature Cycles                                   Professional Athletic Consultants
2257            2014-03-10 00:00:00.000 44720.676             Signature Cycles                                   1588        250         Professional Athletic Consultants                  Proseware, Inc.
2333            2014-03-19 00:00:00.000 49915.1153            Professional Athletic Consultants                  1684        250         Proseware, Inc.                                    Mitchell Sports
2357            2014-03-20 00:00:00.000 64847.5328            Proseware, Inc.                                    1678        250         Mitchell Sports                                    Trikes, Inc.
2404            2014-03-26 00:00:00.000 48485.6873            Mitchell Sports                                    1586        250         Trikes, Inc.                                       Crowley Sport
2422            2014-03-27 00:00:00.000 29233.0789            Trikes, Inc.                                       1498        250         Crowley Sport                                      Vision Cycles, Inc.
2457            2014-03-31 00:00:00.000 48485.6873            Crowley Sport                                      1658        250         Vision Cycles, Inc.                                Competition Bike Training Systems
2504            2014-04-04 00:00:00.000 39915.5006            Vision Cycles, Inc.                                1578        250         Competition Bike Training Systems                  Lakewood Bicycle
2533            2014-04-08 00:00:00.000 31268.7375            Competition Bike Training Systems                  1624        250         Lakewood Bicycle                                   Capital Road Cycles
2557            2014-04-10 00:00:00.000 6311.1799             Lakewood Bicycle                                   1620        250         Capital Road Cycles                                First National Sport Co.
2604            2014-04-14 00:00:00.000 15104.7146            Capital Road Cycles                                1560        250         First National Sport Co.                           International Sport Assoc.
2622            2014-04-16 00:00:00.000 2214.3371             First National Sport Co.                           1522        250         International Sport Assoc.                         SUPERSALES INC.
2633            2014-04-16 00:00:00.000 4103.2241             International Sport Assoc.                         1644        250         SUPERSALES INC.                                    Greenwood Athletic Company
2657            2014-04-18 00:00:00.000 580.125               SUPERSALES INC.                                    1590        250         Greenwood Athletic Company                         Sport Fan Co.
2704            2014-04-23 00:00:00.000 48485.6873            Greenwood Athletic Company                         1506        250         Sport Fan Co.                                      Bicycle Specialists
2733            2014-04-25 00:00:00.000 26157.2561            Sport Fan Co.                                      1632        250         Bicycle Specialists                                West Junction Cycles
2757            2014-04-28 00:00:00.000 38281.8686            Bicycle Specialists                                1628        250         West Junction Cycles                               Expert Bike Co
2822            2014-05-02 00:00:00.000 28212.0589            West Junction Cycles                               1556        250         Expert Bike Co                                     Chicago City Saddles
2857            2014-05-08 00:00:00.000 909.8681              Expert Bike Co                                     1672        250         Chicago City Saddles                               Custom Frames, Inc.
2922            2014-05-14 00:00:00.000 37701.1635            Chicago City Saddles                               1696        250         Custom Frames, Inc.                                Mitchell Sports
2933            2014-05-15 00:00:00.000 23483.46              Custom Frames, Inc.                                1568        250         Mitchell Sports                                    Comfort Road Bicycles
2957            2014-05-16 00:00:00.000 48485.6873            Mitchell Sports                                    1586        250         Comfort Road Bicycles                              Hill's Bicycle Service
3004            2014-05-21 00:00:00.000 31019.8639            Comfort Road Bicycles                              1530        250         Hill's Bicycle Service                             Vision Cycles, Inc.
3022            2014-05-22 00:00:00.000 31319.7885            Hill's Bicycle Service                             1542        250         Vision Cycles, Inc.                                Trikes, Inc.
3057            2014-05-24 00:00:00.000 69442.1228            Vision Cycles, Inc.                                1578        250         Trikes, Inc.                                       Capital Road Cycles
3133            2014-05-30 00:00:00.000 29233.0789            Trikes, Inc.                                       1498        250         Capital Road Cycles                                Allenson Cycles
3157            2014-06-02 00:00:00.000 15104.7146            Capital Road Cycles                                1560        250         Allenson Cycles                                    Greenwood Athletic Company
3222            2014-06-06 00:00:00.000 9776.2665             Allenson Cycles                                    1494        250         Greenwood Athletic Company                         Anderson's Custom Bikes
3257            2014-06-10 00:00:00.000 48485.6873            Greenwood Athletic Company                         1506        250         Anderson's Custom Bikes                            Compete, Inc.
3304            2014-06-13 00:00:00.000 16164.0229            Anderson's Custom Bikes                            1664        250         Compete, Inc.                                      First National Sport Co.
3322            2014-06-16 00:00:00.000 4658.4038             Compete, Inc.                                      1694        250         First National Sport Co.                           International Bicycles
3333            2014-06-17 00:00:00.000 2214.3371             First National Sport Co.                           1522        250         International Bicycles                             Trey Research
3422            2014-06-23 00:00:00.000 31160.2541            International Bicycles                             1526        250         Trey Research                                      West Junction Cycles
3504            2014-06-28 00:00:00.000 7227.4293             Trey Research                                      1584        250         West Junction Cycles                               Comfort Road Bicycles
3533            2014-07-01 00:00:00.000 28212.0589            West Junction Cycles                               1556        250         Comfort Road Bicycles                              Superior Bicycles
3557            2014-07-03 00:00:00.000 31019.8639            Comfort Road Bicycles                              1530        250         Superior Bicycles                                  Chicago City Saddles
3604            2014-07-08 00:00:00.000 100685.3348           Superior Bicycles                                  1576        250         Chicago City Saddles                               Hill's Bicycle Service
3633            2014-07-10 00:00:00.000 56200.7696            Chicago City Saddles                               1696        250         Hill's Bicycle Service                             Reliance Fitness, Inc.
3733            2014-07-17 00:00:00.000 31319.7885            Hill's Bicycle Service                             1542        250         Reliance Fitness, Inc.                             Electronic Bike Repair & Supplies
3757            2014-07-18 00:00:00.000 925.8795              Reliance Fitness, Inc.                             1614        250         Electronic Bike Repair & Supplies                  Anderson's Custom Bikes
3804            2014-07-22 00:00:00.000 31817.5358            Electronic Bike Repair & Supplies                  1646        250         Anderson's Custom Bikes                            Allenson Cycles
3857            2014-07-26 00:00:00.000 16164.0229            Anderson's Custom Bikes                            1664        250         Allenson Cycles                                    Continental Pro Cycles
3933            2014-07-30 00:00:00.000 9776.2665             Allenson Cycles                                    1494        250         Continental Pro Cycles                             NULL
3957            2014-08-01 00:00:00.000 798.4841              Continental Pro Cycles                             1598        250         NULL                                               NULL
285             2013-02-08 00:00:00.000 3292.0934             Trey Research                                      1584        251         Norstan Bike Hut                                   Sport Playground
295             2013-02-13 00:00:00.000 1085.6111             Norstan Bike Hut                                   1562        251         Sport Playground                                   Chicago City Saddles
305             2013-04-24 00:00:00.000 6572.8163             Sport Playground                                   1608        251         Chicago City Saddles                               Australia Bike Retailer
335             2013-04-25 00:00:00.000 168602.3089           Chicago City Saddles                               1696        251         Australia Bike Retailer                            Hill Bicycle Center
325             2013-04-25 00:00:00.000 1654.7486             Australia Bike Retailer                            1492        251         Hill Bicycle Center                                Lakewood Bicycle
355             2013-05-22 00:00:00.000 7880.9981             Hill Bicycle Center                                1626        251         Lakewood Bicycle                                   Superior Bicycles
365             2013-05-23 00:00:00.000 6311.1799             Lakewood Bicycle                                   1620        251         Superior Bicycles                                  Beaumont Bikes
385             2013-05-29 00:00:00.000 100685.3348           Superior Bicycles                                  1576        251         Beaumont Bikes                                     Chicago Rent-All
405             2013-07-12 00:00:00.000 1984.6192             Beaumont Bikes                                     1602        251         Chicago Rent-All                                   West Junction Cycles
415             2013-07-30 00:00:00.000 609.8274              Chicago Rent-All                                   1504        251         West Junction Cycles                               Carlson Specialties
423             2013-08-04 00:00:00.000 28212.0589            West Junction Cycles                               1556        251         Carlson Specialties                                Crowley Sport
443             2013-08-05 00:00:00.000 10649.0066            Carlson Specialties                                1692        251         Crowley Sport                                      Greenwood Athletic Company
453             2013-08-06 00:00:00.000 48485.6873            Crowley Sport                                      1658        251         Greenwood Athletic Company                         Sport Playground
463             2013-08-06 00:00:00.000 48485.6873            Greenwood Athletic Company                         1506        251         Sport Playground                                   Chicago City Saddles
493             2013-08-08 00:00:00.000 6572.8163             Sport Playground                                   1608        251         Chicago City Saddles                               Hill Bicycle Center
523             2013-08-12 00:00:00.000 56200.7696            Chicago City Saddles                               1696        251         Hill Bicycle Center                                Lakewood Bicycle
547             2013-08-13 00:00:00.000 7880.9981             Hill Bicycle Center                                1626        251         Lakewood Bicycle                                   Beaumont Bikes
557             2013-08-14 00:00:00.000 6311.1799             Lakewood Bicycle                                   1620        251         Beaumont Bikes                                     Chicago Rent-All
597             2013-08-18 00:00:00.000 1685.3792             Beaumont Bikes                                     1602        251         Chicago Rent-All                                   Custom Frames, Inc.
607             2013-08-18 00:00:00.000 609.8274              Chicago Rent-All                                   1504        251         Custom Frames, Inc.                                Hill's Bicycle Service
621             2013-08-19 00:00:00.000 30222.192             Custom Frames, Inc.                                1568        251         Hill's Bicycle Service                             Custom Frames, Inc.
631             2013-08-20 00:00:00.000 31319.7885            Hill's Bicycle Service                             1542        251         Custom Frames, Inc.                                Leaf River Terrain
637             2013-08-21 00:00:00.000 28984.2053            Custom Frames, Inc.                                1568        251         Leaf River Terrain                                 Premier Sport, Inc.
645             2013-08-21 00:00:00.000 1516.8761             Leaf River Terrain                                 1666        251         Premier Sport, Inc.                                SUPERSALES INC.
655             2013-08-21 00:00:00.000 23821.6729            Premier Sport, Inc.                                1682        251         SUPERSALES INC.                                    Circuit Cycles
665             2013-08-22 00:00:00.000 580.125               SUPERSALES INC.                                    1590        251         Circuit Cycles                                     Hybrid Bicycle Center
695             2013-08-26 00:00:00.000 7721.4638             Circuit Cycles                                     1544        251         Hybrid Bicycle Center                              Pro Sport Industries
715             2013-08-27 00:00:00.000 24880.9811            Hybrid Bicycle Center                              1610        251         Pro Sport Industries                               Training Systems
735             2013-08-28 00:00:00.000 884.1105              Pro Sport Industries                               1686        251         Training Systems                                   Bicycle Specialists
745             2013-08-29 00:00:00.000 2214.0703             Training Systems                                   1514        251         Bicycle Specialists                                Advanced Bicycles
769             2013-09-01 00:00:00.000 38281.8686            Bicycle Specialists                                1628        251         Advanced Bicycles                                  Comfort Road Bicycles
759             2013-09-01 00:00:00.000 665.2409              Advanced Bicycles                                  1496        251         Comfort Road Bicycles                              Inline Accessories
779             2013-09-02 00:00:00.000 31019.8639            Comfort Road Bicycles                              1530        251         Inline Accessories                                 Professional Athletic Consultants
799             2013-09-03 00:00:00.000 38281.8686            Inline Accessories                                 1638        251         Professional Athletic Consultants                  Trikes, Inc.
819             2013-09-04 00:00:00.000 95273.9288            Professional Athletic Consultants                  1684        251         Trikes, Inc.                                       Hill's Bicycle Service
829             2013-09-05 00:00:00.000 29233.0789            Trikes, Inc.                                       1498        251         Hill's Bicycle Service                             Allenson Cycles
839             2013-09-06 00:00:00.000 31319.7885            Hill's Bicycle Service                             1542        251         Allenson Cycles                                    Bike Satellite Inc.
843             2013-09-08 00:00:00.000 9776.2665             Allenson Cycles                                    1494        251         Bike Satellite Inc.                                Compete Enterprises, Inc
853             2013-09-08 00:00:00.000 2032.6535             Bike Satellite Inc.                                1604        251         Compete Enterprises, Inc                           Varsity Sport Co.
863             2013-09-09 00:00:00.000 41230.0639            Compete Enterprises, Inc                           1508        251         Varsity Sport Co.                                  Compete, Inc.
917             2013-09-15 00:00:00.000 1043.5289             Varsity Sport Co.                                  1674        251         Compete, Inc.                                      Federal Sport
947             2013-09-20 00:00:00.000 3765.0113             Compete, Inc.                                      1694        251         Federal Sport                                      Mitchell Sports
957             2013-09-22 00:00:00.000 1410.2839             Federal Sport                                      1600        251         Mitchell Sports                                    Premier Sport, Inc.
985             2013-09-29 00:00:00.000 48485.6873            Mitchell Sports                                    1586        251         Premier Sport, Inc.                                American Bikes
1019            2013-10-10 00:00:00.000 23821.6729            Premier Sport, Inc.                                1682        251         American Bikes                                     Competition Bike Training Systems
1027            2013-10-13 00:00:00.000 22539.0165            American Bikes                                     1654        251         Competition Bike Training Systems                  SUPERSALES INC.
1047            2013-10-14 00:00:00.000 31268.7375            Competition Bike Training Systems                  1624        251         SUPERSALES INC.                                    First National Sport Co.
1061            2013-10-15 00:00:00.000 580.125               SUPERSALES INC.                                    1590        251         First National Sport Co.                           International Bicycles
1065            2013-10-20 00:00:00.000 2214.3371             First National Sport Co.                           1522        251         International Bicycles                             Bergeron Off-Roads
1075            2013-10-20 00:00:00.000 31160.2541            International Bicycles                             1526        251         Bergeron Off-Roads                                 Circuit Cycles
1097            2013-11-06 00:00:00.000 858.353               Bergeron Off-Roads                                 1540        251         Circuit Cycles                                     Hybrid Bicycle Center
1107            2013-11-07 00:00:00.000 7721.4638             Circuit Cycles                                     1544        251         Hybrid Bicycle Center                              Pro Sport Industries
1127            2013-11-08 00:00:00.000 24880.9811            Hybrid Bicycle Center                              1610        251         Pro Sport Industries                               Advanced Bicycles
1147            2013-11-11 00:00:00.000 733.3592              Pro Sport Industries                               1686        251         Advanced Bicycles                                  Bicycle Specialists
1167            2013-11-13 00:00:00.000 830.507               Advanced Bicycles                                  1496        251         Bicycle Specialists                                Comfort Road Bicycles
1177            2013-11-15 00:00:00.000 38281.8686            Bicycle Specialists                                1628        251         Comfort Road Bicycles                              Electronic Bike Repair & Supplies
1187            2013-11-15 00:00:00.000 31019.8639            Comfort Road Bicycles                              1530        251         Electronic Bike Repair & Supplies                  Inline Accessories
1197            2013-11-18 00:00:00.000 53073.8959            Electronic Bike Repair & Supplies                  1646        251         Inline Accessories                                 Trikes, Inc.
1207            2013-11-20 00:00:00.000 38281.8686            Inline Accessories                                 1638        251         Trikes, Inc.                                       Professional Athletic Consultants
1237            2013-11-22 00:00:00.000 29233.0789            Trikes, Inc.                                       1498        251         Professional Athletic Consultants                  Allenson Cycles
1227            2013-11-22 00:00:00.000 95273.9288            Professional Athletic Consultants                  1684        251         Allenson Cycles                                    Compete Enterprises, Inc
1247            2013-11-25 00:00:00.000 9776.2665             Allenson Cycles                                    1494        251         Compete Enterprises, Inc                           Expert Bike Co
1267            2013-11-27 00:00:00.000 41230.0639            Compete Enterprises, Inc                           1508        251         Expert Bike Co                                     Inner City Bikes
1277            2013-11-27 00:00:00.000 909.8681              Expert Bike Co                                     1672        251         Inner City Bikes                                   Ready Rentals
1287            2013-11-28 00:00:00.000 924.8353              Inner City Bikes                                   1582        251         Ready Rentals                                      Varsity Sport Co.
1307            2013-11-29 00:00:00.000 927.968               Ready Rentals                                      1534        251         Varsity Sport Co.                                  Compete, Inc.
1317            2013-12-02 00:00:00.000 1043.5289             Varsity Sport Co.                                  1674        251         Compete, Inc.                                      Mitchell Sports
1347            2013-12-05 00:00:00.000 8423.415              Compete, Inc.                                      1694        251         Mitchell Sports                                    Reliance Fitness, Inc.
1377            2013-12-09 00:00:00.000 48485.6873            Mitchell Sports                                    1586        251         Reliance Fitness, Inc.                             Victory Bikes
1387            2013-12-09 00:00:00.000 589.5695              Reliance Fitness, Inc.                             1614        251         Victory Bikes                                      American Bikes
1397            2013-12-11 00:00:00.000 57004.8229            Victory Bikes                                      1652        251         American Bikes                                     Competition Bike Training Systems
1407            2013-12-12 00:00:00.000 22539.0165            American Bikes                                     1654        251         Competition Bike Training Systems                  First National Sport Co.
1427            2013-12-13 00:00:00.000 31268.7375            Competition Bike Training Systems                  1624        251         First National Sport Co.                           International Bicycles
1437            2013-12-17 00:00:00.000 2214.3371             First National Sport Co.                           1522        251         International Bicycles                             Signature Cycles
1447            2013-12-17 00:00:00.000 31160.2541            International Bicycles                             1526        251         Signature Cycles                                   Vision Cycles, Inc.
1467            2013-12-18 00:00:00.000 44720.676             Signature Cycles                                   1588        251         Vision Cycles, Inc.                                Anderson's Custom Bikes
1477            2013-12-19 00:00:00.000 69442.1228            Vision Cycles, Inc.                                1578        251         Anderson's Custom Bikes                            First Rate Bicycles
1487            2013-12-20 00:00:00.000 16164.0229            Anderson's Custom Bikes                            1664        251         First Rate Bicycles                                International Sport Assoc.
1517            2013-12-24 00:00:00.000 56200.7696            First Rate Bicycles                                1570        251         International Sport Assoc.                         Mountain Works
1527            2013-12-24 00:00:00.000 4103.2241             International Sport Assoc.                         1644        251         Mountain Works                                     Speed Corporation
1537            2013-12-25 00:00:00.000 822.2576              Mountain Works                                     1656        251         Speed Corporation                                  Proseware, Inc.
1547            2013-12-26 00:00:00.000 923.7911              Speed Corporation                                  1622        251         Proseware, Inc.                                    Capital Road Cycles
1567            2013-12-30 00:00:00.000 64847.5328            Proseware, Inc.                                    1678        251         Capital Road Cycles                                Continental Pro Cycles
1577            2013-12-31 00:00:00.000 15104.7146            Capital Road Cycles                                1560        251         Continental Pro Cycles                             Gardner Touring Cycles
1587            2014-01-01 00:00:00.000 504.6392              Continental Pro Cycles                             1598        251         Gardner Touring Cycles                             Jackson Authority
1597            2014-01-01 00:00:00.000 502.6203              Gardner Touring Cycles                             1516        251         Jackson Authority                                  National Bike Association
1607            2014-01-02 00:00:00.000 70533.3379            Jackson Authority                                  1680        251         National Bike Association                          Sport Fan Co.
1617            2014-01-03 00:00:00.000 510.278               National Bike Association                          1572        251         Sport Fan Co.                                      West Junction Cycles
1627            2014-01-03 00:00:00.000 68612.544             Sport Fan Co.                                      1632        251         West Junction Cycles                               Crowley Sport
1637            2014-01-06 00:00:00.000 28212.0589            West Junction Cycles                               1556        251         Crowley Sport                                      Greenwood Athletic Company
1667            2014-01-09 00:00:00.000 48485.6873            Crowley Sport                                      1658        251         Greenwood Athletic Company                         Trey Research
1677            2014-01-09 00:00:00.000 48485.6873            Greenwood Athletic Company                         1506        251         Trey Research                                      Norstan Bike Hut
1687            2014-01-10 00:00:00.000 18056.0426            Trey Research                                      1584        251         Norstan Bike Hut                                   Sport Playground
1697            2014-01-15 00:00:00.000 798.4841              Norstan Bike Hut                                   1562        251         Sport Playground                                   WestAmerica Bicycle Co.
1707            2014-01-15 00:00:00.000 6572.8163             Sport Playground                                   1608        251         WestAmerica Bicycle Co.                            Australia Bike Retailer
1717            2014-01-16 00:00:00.000 855.2203              WestAmerica Bicycle Co.                            1554        251         Australia Bike Retailer                            Chicago City Saddles
1727            2014-01-16 00:00:00.000 855.2203              Australia Bike Retailer                            1492        251         Chicago City Saddles                               Cruger Bike Company
1737            2014-01-17 00:00:00.000 112401.5393           Chicago City Saddles                               1696        251         Cruger Bike Company                                Lakewood Bicycle
1747            2014-01-20 00:00:00.000 798.31                Cruger Bike Company                                1536        251         Lakewood Bicycle                                   Superior Bicycles
1767            2014-01-21 00:00:00.000 6311.1799             Lakewood Bicycle                                   1620        251         Superior Bicycles                                  Beaumont Bikes
1787            2014-01-22 00:00:00.000 100685.3348           Superior Bicycles                                  1576        251         Beaumont Bikes                                     Custom Frames, Inc.
1807            2014-01-24 00:00:00.000 1984.6192             Beaumont Bikes                                     1602        251         Custom Frames, Inc.                                Chicago Rent-All
1827            2014-01-27 00:00:00.000 20599.0785            Custom Frames, Inc.                                1568        251         Chicago Rent-All                                   Hill's Bicycle Service
1817            2014-01-27 00:00:00.000 609.8274              Chicago Rent-All                                   1504        251         Hill's Bicycle Service                             Leaf River Terrain
1837            2014-01-28 00:00:00.000 31319.7885            Hill's Bicycle Service                             1542        251         Leaf River Terrain                                 SUPERSALES INC.
1847            2014-01-29 00:00:00.000 858.353               Leaf River Terrain                                 1666        251         SUPERSALES INC.                                    Bergeron Off-Roads
1867            2014-02-03 00:00:00.000 580.125               SUPERSALES INC.                                    1590        251         Bergeron Off-Roads                                 Circuit Cycles
1887            2014-02-05 00:00:00.000 827.3743              Bergeron Off-Roads                                 1540        251         Circuit Cycles                                     Hybrid Bicycle Center
1897            2014-02-06 00:00:00.000 7721.4638             Circuit Cycles                                     1544        251         Hybrid Bicycle Center                              Pro Sport Industries
1917            2014-02-07 00:00:00.000 24880.9811            Hybrid Bicycle Center                              1610        251         Pro Sport Industries                               Training Systems
1937            2014-02-10 00:00:00.000 784.9091              Pro Sport Industries                               1686        251         Training Systems                                   Bicycle Specialists
1947            2014-02-11 00:00:00.000 2214.0703             Training Systems                                   1514        251         Bicycle Specialists                                Comfort Road Bicycles
1967            2014-02-12 00:00:00.000 38281.8686            Bicycle Specialists                                1628        251         Comfort Road Bicycles                              Electronic Bike Repair & Supplies
